[Mon Sep 26 21:07:23.451748 2022] [ssl:warn] [pid 10964:tid 760] AH01909: www.example.com:443:0 server certificate does NOT include an ID which matches the server name
[Mon Sep 26 21:07:24.012472 2022] [ssl:warn] [pid 10964:tid 760] AH01909: www.example.com:443:0 server certificate does NOT include an ID which matches the server name
[Mon Sep 26 21:07:24.532333 2022] [mpm_winnt:notice] [pid 10964:tid 760] AH00455: Apache/2.4.23 (Win32) OpenSSL/1.0.2h PHP/5.6.24 configured -- resuming normal operations
[Mon Sep 26 21:07:24.532333 2022] [mpm_winnt:notice] [pid 10964:tid 760] AH00456: Apache Lounge VC11 Server built: Jul  7 2016 11:13:22
[Tue Sep 27 00:33:09.879194 2022] [:error] [pid 13420:tid 2016] [client 127.0.0.1:55088] PHP Notice:  Undefined index: session_user in D:\\xampp\\htdocs\\include_session.php on line 17
[Tue Sep 27 00:33:09.879194 2022] [:error] [pid 13420:tid 2016] [client 127.0.0.1:55088] PHP Notice:  Undefined index: session_token in D:\\xampp\\htdocs\\include_session.php on line 18
[Tue Sep 27 00:33:09.879194 2022] [:error] [pid 13420:tid 2016] [client 127.0.0.1:55088] PHP Notice:  Array to string conversion in D:\\xampp\\htdocs\\include_session.php on line 27
[Tue Sep 27 00:33:52.007644 2022] [:error] [pid 13420:tid 2016] [client 127.0.0.1:55093] PHP Notice:  Undefined index: session_user in D:\\xampp\\htdocs\\include_session.php on line 17
[Tue Sep 27 00:33:52.007644 2022] [:error] [pid 13420:tid 2016] [client 127.0.0.1:55093] PHP Notice:  Undefined index: session_token in D:\\xampp\\htdocs\\include_session.php on line 18
[Tue Sep 27 00:34:57.429029 2022] [:error] [pid 13420:tid 2016] [client 127.0.0.1:55101] PHP Notice:  Undefined index: session_user in D:\\xampp\\htdocs\\include_session.php on line 17
[Tue Sep 27 00:34:57.429029 2022] [:error] [pid 13420:tid 2016] [client 127.0.0.1:55101] PHP Notice:  Undefined index: session_token in D:\\xampp\\htdocs\\include_session.php on line 18
[Tue Sep 27 00:35:28.186019 2022] [:error] [pid 13420:tid 2016] [client 127.0.0.1:55107] PHP Notice:  Undefined index: session_user in D:\\xampp\\htdocs\\include_session.php on line 17
[Tue Sep 27 00:35:28.186019 2022] [:error] [pid 13420:tid 2016] [client 127.0.0.1:55107] PHP Notice:  Undefined index: session_token in D:\\xampp\\htdocs\\include_session.php on line 18
[Tue Sep 27 00:39:54.785419 2022] [:error] [pid 13420:tid 2016] [client 127.0.0.1:55138] PHP Notice:  Undefined index: session_user in D:\\xampp\\htdocs\\include_session.php on line 17
[Tue Sep 27 00:39:54.785419 2022] [:error] [pid 13420:tid 2016] [client 127.0.0.1:55138] PHP Notice:  Undefined index: session_token in D:\\xampp\\htdocs\\include_session.php on line 18
[Tue Sep 27 00:41:07.440825 2022] [:error] [pid 13420:tid 2016] [client 127.0.0.1:55146] PHP Notice:  Undefined index: session_user in D:\\xampp\\htdocs\\include_session.php on line 17
[Tue Sep 27 00:41:07.440825 2022] [:error] [pid 13420:tid 2016] [client 127.0.0.1:55146] PHP Notice:  Undefined index: session_token in D:\\xampp\\htdocs\\include_session.php on line 18
[Tue Sep 27 00:41:26.816095 2022] [:error] [pid 13420:tid 2016] [client 127.0.0.1:55150] PHP Notice:  Undefined index: session_user in D:\\xampp\\htdocs\\include_session.php on line 17
[Tue Sep 27 00:41:26.816095 2022] [:error] [pid 13420:tid 2016] [client 127.0.0.1:55150] PHP Notice:  Undefined index: session_token in D:\\xampp\\htdocs\\include_session.php on line 18
[Tue Sep 27 00:44:38.952689 2022] [:error] [pid 13420:tid 2016] [client 127.0.0.1:55172] PHP Notice:  Undefined index: session_user in D:\\xampp\\htdocs\\include_session.php on line 17
[Tue Sep 27 00:44:38.952689 2022] [:error] [pid 13420:tid 2016] [client 127.0.0.1:55172] PHP Notice:  Undefined index: session_token in D:\\xampp\\htdocs\\include_session.php on line 18
[Tue Sep 27 00:47:58.166872 2022] [:error] [pid 13420:tid 2016] [client 127.0.0.1:55177] PHP Notice:  Undefined index: session_user in D:\\xampp\\htdocs\\include_session.php on line 17
[Tue Sep 27 00:47:58.166872 2022] [:error] [pid 13420:tid 2016] [client 127.0.0.1:55177] PHP Notice:  Undefined index: session_token in D:\\xampp\\htdocs\\include_session.php on line 18
[Tue Sep 27 00:48:21.035943 2022] [:error] [pid 13420:tid 2016] [client 127.0.0.1:55199] PHP Notice:  Undefined index: session_user in D:\\xampp\\htdocs\\include_session.php on line 17
[Tue Sep 27 00:48:21.035943 2022] [:error] [pid 13420:tid 2016] [client 127.0.0.1:55199] PHP Notice:  Undefined index: session_token in D:\\xampp\\htdocs\\include_session.php on line 18
[Tue Sep 27 00:57:36.594084 2022] [:error] [pid 13420:tid 2016] [client 127.0.0.1:55229] PHP Notice:  Undefined variable: navactive_class in D:\\xampp\\htdocs\\index.php on line 46
[Tue Sep 27 00:57:36.594084 2022] [:error] [pid 13420:tid 2016] [client 127.0.0.1:55229] PHP Notice:  Undefined variable: navactive_all in D:\\xampp\\htdocs\\index.php on line 63
[Tue Sep 27 00:57:36.594084 2022] [:error] [pid 13420:tid 2016] [client 127.0.0.1:55229] PHP Notice:  Undefined variable: navactive_veg in D:\\xampp\\htdocs\\index.php on line 64
[Tue Sep 27 00:57:36.594084 2022] [:error] [pid 13420:tid 2016] [client 127.0.0.1:55229] PHP Warning:  include_once(admin_header.php): failed to open stream: No such file or directory in D:\\xampp\\htdocs\\index.php on line 72
[Tue Sep 27 00:57:36.594084 2022] [:error] [pid 13420:tid 2016] [client 127.0.0.1:55229] PHP Warning:  include_once(): Failed opening 'admin_header.php' for inclusion (include_path='\\xampp\\php\\PEAR') in D:\\xampp\\htdocs\\index.php on line 72
[Tue Sep 27 00:57:36.594084 2022] [:error] [pid 13420:tid 2016] [client 127.0.0.1:55229] PHP Notice:  Undefined variable: sessionUsername in D:\\xampp\\htdocs\\index.php on line 77
[Tue Sep 27 00:57:45.224769 2022] [:error] [pid 13420:tid 2016] [client 127.0.0.1:55231] PHP Notice:  Undefined variable: navactive_class in D:\\xampp\\htdocs\\index.php on line 46, referer: https://localhost/
[Tue Sep 27 00:57:45.224769 2022] [:error] [pid 13420:tid 2016] [client 127.0.0.1:55231] PHP Notice:  Undefined variable: navactive_all in D:\\xampp\\htdocs\\index.php on line 63, referer: https://localhost/
[Tue Sep 27 00:57:45.224769 2022] [:error] [pid 13420:tid 2016] [client 127.0.0.1:55231] PHP Notice:  Undefined variable: navactive_veg in D:\\xampp\\htdocs\\index.php on line 64, referer: https://localhost/
[Tue Sep 27 00:57:45.224769 2022] [:error] [pid 13420:tid 2016] [client 127.0.0.1:55231] PHP Warning:  include_once(admin_header.php): failed to open stream: No such file or directory in D:\\xampp\\htdocs\\index.php on line 72, referer: https://localhost/
[Tue Sep 27 00:57:45.224769 2022] [:error] [pid 13420:tid 2016] [client 127.0.0.1:55231] PHP Warning:  include_once(): Failed opening 'admin_header.php' for inclusion (include_path='\\xampp\\php\\PEAR') in D:\\xampp\\htdocs\\index.php on line 72, referer: https://localhost/
[Tue Sep 27 00:57:45.224769 2022] [:error] [pid 13420:tid 2016] [client 127.0.0.1:55231] PHP Notice:  Undefined variable: sessionUsername in D:\\xampp\\htdocs\\index.php on line 77, referer: https://localhost/
[Tue Sep 27 00:58:34.328801 2022] [:error] [pid 13420:tid 2016] [client 127.0.0.1:55235] PHP Notice:  Undefined variable: navactive_home in D:\\xampp\\htdocs\\index.php on line 45, referer: https://localhost/
[Tue Sep 27 00:58:34.328801 2022] [:error] [pid 13420:tid 2016] [client 127.0.0.1:55235] PHP Notice:  Undefined variable: navactive_all in D:\\xampp\\htdocs\\index.php on line 46, referer: https://localhost/
[Tue Sep 27 00:58:34.328801 2022] [:error] [pid 13420:tid 2016] [client 127.0.0.1:55235] PHP Notice:  Undefined variable: navactive_veg in D:\\xampp\\htdocs\\index.php on line 47, referer: https://localhost/
[Tue Sep 27 00:58:34.328801 2022] [:error] [pid 13420:tid 2016] [client 127.0.0.1:55235] PHP Warning:  include_once(admin_header.php): failed to open stream: No such file or directory in D:\\xampp\\htdocs\\index.php on line 55, referer: https://localhost/
[Tue Sep 27 00:58:34.328801 2022] [:error] [pid 13420:tid 2016] [client 127.0.0.1:55235] PHP Warning:  include_once(): Failed opening 'admin_header.php' for inclusion (include_path='\\xampp\\php\\PEAR') in D:\\xampp\\htdocs\\index.php on line 55, referer: https://localhost/
[Tue Sep 27 00:58:34.328801 2022] [:error] [pid 13420:tid 2016] [client 127.0.0.1:55235] PHP Notice:  Undefined variable: sessionUsername in D:\\xampp\\htdocs\\index.php on line 60, referer: https://localhost/
[Tue Sep 27 00:58:36.583543 2022] [:error] [pid 13420:tid 2016] [client 127.0.0.1:55235] PHP Notice:  Undefined variable: navactive_home in D:\\xampp\\htdocs\\index.php on line 45, referer: https://localhost/index.php
[Tue Sep 27 00:58:36.583543 2022] [:error] [pid 13420:tid 2016] [client 127.0.0.1:55235] PHP Notice:  Undefined variable: navactive_all in D:\\xampp\\htdocs\\index.php on line 46, referer: https://localhost/index.php
[Tue Sep 27 00:58:36.583543 2022] [:error] [pid 13420:tid 2016] [client 127.0.0.1:55235] PHP Notice:  Undefined variable: navactive_veg in D:\\xampp\\htdocs\\index.php on line 47, referer: https://localhost/index.php
[Tue Sep 27 00:58:36.586085 2022] [:error] [pid 13420:tid 2016] [client 127.0.0.1:55235] PHP Warning:  include_once(admin_header.php): failed to open stream: No such file or directory in D:\\xampp\\htdocs\\index.php on line 55, referer: https://localhost/index.php
[Tue Sep 27 00:58:36.586085 2022] [:error] [pid 13420:tid 2016] [client 127.0.0.1:55235] PHP Warning:  include_once(): Failed opening 'admin_header.php' for inclusion (include_path='\\xampp\\php\\PEAR') in D:\\xampp\\htdocs\\index.php on line 55, referer: https://localhost/index.php
[Tue Sep 27 00:58:36.586085 2022] [:error] [pid 13420:tid 2016] [client 127.0.0.1:55235] PHP Notice:  Undefined variable: sessionUsername in D:\\xampp\\htdocs\\index.php on line 60, referer: https://localhost/index.php
[Tue Sep 27 00:58:38.582158 2022] [:error] [pid 13420:tid 2016] [client 127.0.0.1:55235] script 'D:/xampp/htdocs/show_meals_all.php' not found or unable to stat, referer: https://localhost/index.php
[Tue Sep 27 00:58:40.138544 2022] [:error] [pid 13420:tid 2016] [client 127.0.0.1:55235] PHP Notice:  Undefined variable: navactive_home in D:\\xampp\\htdocs\\index.php on line 45, referer: https://localhost/index.php
[Tue Sep 27 00:58:40.138544 2022] [:error] [pid 13420:tid 2016] [client 127.0.0.1:55235] PHP Notice:  Undefined variable: navactive_all in D:\\xampp\\htdocs\\index.php on line 46, referer: https://localhost/index.php
[Tue Sep 27 00:58:40.138544 2022] [:error] [pid 13420:tid 2016] [client 127.0.0.1:55235] PHP Notice:  Undefined variable: navactive_veg in D:\\xampp\\htdocs\\index.php on line 47, referer: https://localhost/index.php
[Tue Sep 27 00:58:40.138544 2022] [:error] [pid 13420:tid 2016] [client 127.0.0.1:55235] PHP Warning:  include_once(admin_header.php): failed to open stream: No such file or directory in D:\\xampp\\htdocs\\index.php on line 55, referer: https://localhost/index.php
[Tue Sep 27 00:58:40.138544 2022] [:error] [pid 13420:tid 2016] [client 127.0.0.1:55235] PHP Warning:  include_once(): Failed opening 'admin_header.php' for inclusion (include_path='\\xampp\\php\\PEAR') in D:\\xampp\\htdocs\\index.php on line 55, referer: https://localhost/index.php
[Tue Sep 27 00:58:40.138544 2022] [:error] [pid 13420:tid 2016] [client 127.0.0.1:55235] PHP Notice:  Undefined variable: sessionUsername in D:\\xampp\\htdocs\\index.php on line 60, referer: https://localhost/index.php
[Tue Sep 27 00:58:41.689710 2022] [:error] [pid 13420:tid 2016] [client 127.0.0.1:55235] PHP Notice:  Undefined variable: navactive_home in D:\\xampp\\htdocs\\index.php on line 45, referer: https://localhost/index.php
[Tue Sep 27 00:58:41.689710 2022] [:error] [pid 13420:tid 2016] [client 127.0.0.1:55235] PHP Notice:  Undefined variable: navactive_all in D:\\xampp\\htdocs\\index.php on line 46, referer: https://localhost/index.php
[Tue Sep 27 00:58:41.689710 2022] [:error] [pid 13420:tid 2016] [client 127.0.0.1:55235] PHP Notice:  Undefined variable: navactive_veg in D:\\xampp\\htdocs\\index.php on line 47, referer: https://localhost/index.php
[Tue Sep 27 00:58:41.689710 2022] [:error] [pid 13420:tid 2016] [client 127.0.0.1:55235] PHP Warning:  include_once(admin_header.php): failed to open stream: No such file or directory in D:\\xampp\\htdocs\\index.php on line 55, referer: https://localhost/index.php
[Tue Sep 27 00:58:41.689710 2022] [:error] [pid 13420:tid 2016] [client 127.0.0.1:55235] PHP Warning:  include_once(): Failed opening 'admin_header.php' for inclusion (include_path='\\xampp\\php\\PEAR') in D:\\xampp\\htdocs\\index.php on line 55, referer: https://localhost/index.php
[Tue Sep 27 00:58:41.689710 2022] [:error] [pid 13420:tid 2016] [client 127.0.0.1:55235] PHP Notice:  Undefined variable: sessionUsername in D:\\xampp\\htdocs\\index.php on line 60, referer: https://localhost/index.php
[Tue Sep 27 00:58:43.399119 2022] [:error] [pid 13420:tid 2016] [client 127.0.0.1:55235] script 'D:/xampp/htdocs/show_meals_all.php' not found or unable to stat, referer: https://localhost/index.php
[Tue Sep 27 00:58:44.816992 2022] [:error] [pid 13420:tid 2016] [client 127.0.0.1:55235] PHP Notice:  Undefined variable: navactive_home in D:\\xampp\\htdocs\\index.php on line 45, referer: https://localhost/index.php
[Tue Sep 27 00:58:44.816992 2022] [:error] [pid 13420:tid 2016] [client 127.0.0.1:55235] PHP Notice:  Undefined variable: navactive_all in D:\\xampp\\htdocs\\index.php on line 46, referer: https://localhost/index.php
[Tue Sep 27 00:58:44.816992 2022] [:error] [pid 13420:tid 2016] [client 127.0.0.1:55235] PHP Notice:  Undefined variable: navactive_veg in D:\\xampp\\htdocs\\index.php on line 47, referer: https://localhost/index.php
[Tue Sep 27 00:58:44.816992 2022] [:error] [pid 13420:tid 2016] [client 127.0.0.1:55235] PHP Warning:  include_once(admin_header.php): failed to open stream: No such file or directory in D:\\xampp\\htdocs\\index.php on line 55, referer: https://localhost/index.php
[Tue Sep 27 00:58:44.816992 2022] [:error] [pid 13420:tid 2016] [client 127.0.0.1:55235] PHP Warning:  include_once(): Failed opening 'admin_header.php' for inclusion (include_path='\\xampp\\php\\PEAR') in D:\\xampp\\htdocs\\index.php on line 55, referer: https://localhost/index.php
